"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"31301200","ADMINISTRAÇÃO - N","07e971639a9288195dcf14d0eade2f36","2580","80-100","5,416","4-6","14","7","7,278","352,858","3,364","163,109","76"
"31301200","ADMINISTRAÇÃO - N","5c894e4c55ecb08aba5474d3343f708a","2880","80-100","6,737","6-8","14","7","7,501","400,725","4,126","220,41","76"
"31301200","ADMINISTRAÇÃO - N","e28e9756830060226b5335a0637cf835","2760","80-100","6,088","6-8","14","7","7,29","355,452","3,464","168,921","76"
"31301200","ADMINISTRAÇÃO - N","03711370c1d070c7c18310f5ce7cd1d9","2610","80-100","5,816","4-6","14","7","7,041","302,117","3,208","137,662","76"
"31301200","ADMINISTRAÇÃO - N","451a5661f3bdf0e8e5f9a0f2e8da80e8","2640","80-100","7,001","6-8","14","7","8,056","519,708","4,253","274,406","76"
"31301200","ADMINISTRAÇÃO - N","3baff1c994fe94f31516be5541785082","2370","60-80","6,514","6-8","14","7","7,295","356,511","3,283","160,456","76"
"31301200","ADMINISTRAÇÃO - N","aee1abfce5693169c9f3f37c1f2a2572","2490","80-100","6,498","6-8","14","7","7,372","373,105","3,057","154,735","76"
"31301200","ADMINISTRAÇÃO - N","0060a8a9cab7c5b6b4eac6569f89a970","2760","80-100","6,964","6-8","14","7","7,603","422,654","3,283","182,517","76"
"31301200","ADMINISTRAÇÃO - N","4824d0bc1605d052d19c1ac149dc1a7d","2880","80-100","6,943","6-8","12","6","7,75","454,133","5,111","299,515","76"
"31301200","ADMINISTRAÇÃO - N","1a67bbb41a971efdc6a6ef3e9e90c417","3000","80-100","6,832","6-8","12","6","7,518","404,301","4,811","258,753","76"
"31301200","ADMINISTRAÇÃO - N","df780ff2014991434fc9e1d82f73a021","1410","40-60","4,175","4-6","12","6","6,577","202,411","1,306","40,201","76"
"31301200","ADMINISTRAÇÃO - N","2842055851786e0184a815aaa6d945de","2340","60-80","7,047","6-8","12","6","7,578","417,279","4,1","225,776","76"
"31301200","ADMINISTRAÇÃO - N","2f86b1bdde8f4499f9978302b6a36538","2700","80-100","6,389","6-8","12","6","7,289","355,214","4,473","217,972","76"
"31301200","ADMINISTRAÇÃO - N","be3fbe3a44d3d81528a7b209c2dfa1a9","3000","80-100","6,56","6-8","12","6","7,216","339,497","4,493","211,406","76"
"31301200","ADMINISTRAÇÃO - N","78e365ccb1a71effeaa5bfbaa2547d37","2760","80-100","6,365","6-8","12","6","7,704","444,339","4,29","247,427","76"
"31301200","ADMINISTRAÇÃO - N","e4f0bcf967e6cd1208ec36c880fe52a7","2670","80-100","5,981","4-6","12","6","7,534","407,733","3,73","201,853","76"
"31301200","ADMINISTRAÇÃO - N","f4c6a4a6b32b8fef9347ea44a2c9677d","2370","60-80","5,683","4-6","12","6","7,139","323,111","3,094","140,037","76"
"31301200","ADMINISTRAÇÃO - N","60f0664a02903c09ef975f9486a449e2","2190","60-80","5,454","4-6","12","6","6,978","288,539","2,631","108,794","76"
"31301200","ADMINISTRAÇÃO - N","11d65a90cd363d83a273d5d8c3362365","2670","80-100","6,199","6-8","12","6","7,489","398,092","4,453","236,694","76"
"31301200","ADMINISTRAÇÃO - N","4a50a5c5e2c28c74feff4a95c20a204c","2880","80-100","7,14","6-8","12","6","7,514","403,533","5,31","285,154","76"
"31301200","ADMINISTRAÇÃO - N","66550feb6be037a883cf701417576208","1740","40-60","5,286","4-6","12","6","7,29","355,378","1,896","92,435","76"
"31301200","ADMINISTRAÇÃO - N","68030e8076d82ddc9342b2aa7dc16639","2280","60-80","5,585","4-6","10","5","6,709","230,86","3,596","123,722","76"
"31301200","ADMINISTRAÇÃO - N","f58f53fd1f49ee5365eaaebc8dc744aa","690","20-40","3,145","2-4","10","5","7,404","379,982","0,752","38,573","76"
"31301200","ADMINISTRAÇÃO - N","8b99b7bfc4a4b5c9b0777a477bae47b7","2910","80-100","7,247","6-8","10","5","7,792","463,244","6,066","360,594","76"
"31301200","ADMINISTRAÇÃO - N","d235f282c1f20d0d3e9a58e780c2a313","3000","80-100","7,833","6-8","10","5","7,996","506,869","6,767","428,998","76"
"31301200","ADMINISTRAÇÃO - N","0749f998cd3795730c6513dc00eddec7","3000","80-100","7,41","6-8","10","5","7,806","466,2","6,348","379,102","76"
"31301200","ADMINISTRAÇÃO - N","a9c310654b01853c780b536f2037286b","2880","80-100","6,964","6-8","10","5","7,664","435,712","5,614","319,142","76"
"31301200","ADMINISTRAÇÃO - N","0f4e49a3d1b9ad17a7a5379c2430d7ed","2700","80-100","7,752","6-8","10","5","7,983","504,022","5,904","372,774","76"
"31301200","ADMINISTRAÇÃO - N","0f6f76c1c7645027d1a2d454d6b2d1cc","2730","80-100","6,866","6-8","10","5","7,876","481,133","5,365","327,753","76"
"31301200","ADMINISTRAÇÃO - N","21e26152782b67a9d8d0b20ca5857738","2760","80-100","6,183","6-8","10","5","7,168","329,196","3,573","164,124","76"
"31301200","ADMINISTRAÇÃO - N","19673f531ac991bc95367c68c386752e","2640","80-100","7,54","6-8","10","5","8,125","534,579","5,899","388,104","76"
"31301200","ADMINISTRAÇÃO - N","f6a5e6e4ba2bd31a6e0754454e5cb9db","2250","60-80","6,263","6-8","10","5","7,107","316,123","3,748","166,706","76"
"31301200","ADMINISTRAÇÃO - N","284eeb3bf528ec93797f9de8dca67bd4","2340","60-80","6,594","6-8","10","5","7,332","364,473","4,226","210,075","76"
"31301200","ADMINISTRAÇÃO - N","e0d647b0e1cbecb6dfb55f3a63a27821","2670","80-100","7,567","6-8","10","5","8,178","545,847","6,01","401,164","76"
"31301200","ADMINISTRAÇÃO - N","6bbaf658aec772add540b42d37f3e327","2760","80-100","6,709","6-8","10","5","7,65","432,68","5,176","292,778","76"
"Cód. Curso","Curso","c752b5aed1f40f5a9dbe9f3f426fd945","CH integralizada","Faixa CH %","CRA","Faixa CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"31301200","ADMINISTRAÇÃO - N","f801cec8343005d9b4636b6d06edd75c","2670","80-100","6,732","6-8","10","5","7,972","501,706","5,033","316,732","76"
